session_id,hour_in_session,operating_hours_since_overhaul,material_density,ambient_temp_C,Vibration_Engine_RMS,Vibration_Engine_Peak,Vibration_Undercarriage_RMS,Vibration_Undercarriage_Peak,Hydraulic_Pressure_Implement,Return_Pressure,Hydraulic_Oil_Temp,Engine_Coolant_Temp,Differential_Pressure_Filter,Oil_Particle_Count,Track_Slip_Ratio,Engine_Load_Factor,Fuel_Consumption_Rate,Drawbar_Pull_Force,degradation_progress,active_failure_count,dominant_failure_mode,health_state
0,0,0,2.76,28.47,1.337,2.697,2.506,5.306,224.614,7.773,70.75,82.849,0.608,193.917,5.723,53.832,18.962,183.674,0.0,0,none,normal
0,1,1,2.71,28.92,1.376,2.959,2.4,4.688,241.203,8.142,71.973,83.635,0.554,209.147,5.696,54.551,21.118,195.401,0.0,0,none,normal
0,2,2,2.74,30.7,1.454,2.989,2.33,4.8,242.305,7.84,69.581,82.288,0.634,199.52,5.846,51.263,21.649,177.638,0.0,0,none,normal
0,3,3,2.79,31.28,1.301,2.863,2.362,4.601,224.644,7.653,65.614,84.55,0.538,201.188,5.767,51.261,19.462,188.68,0.0,0,none,normal
0,4,4,2.69,32.56,1.369,2.94,2.351,4.616,238.832,8.189,65.71,82.418,0.556,201.25,5.252,55.538,20.288,186.672,0.0,0,none,normal
0,5,5,2.63,32.3,1.334,2.717,2.319,4.592,230.319,7.845,70.716,80.905,0.599,198.153,5.506,52.269,19.84,178.835,0.0,0,none,normal
0,6,6,2.64,31.06,1.378,2.814,2.406,5.059,233.606,7.873,68.104,88.972,0.635,196.7,5.662,50.201,20.014,185.59,0.0,0,none,normal
0,7,7,2.62,31.82,1.36,2.909,2.321,4.292,234.399,7.973,67.659,87.132,0.596,208.202,5.602,54.024,20.934,192.208,0.0,0,none,normal
0,8,8,2.62,30.76,1.384,2.883,2.261,4.284,238.445,8.216,69.25,80.039,0.604,203.687,5.715,54.063,19.003,182.317,0.0,0,none,normal
0,9,9,2.58,30.52,1.397,2.919,2.374,4.378,231.206,7.968,70.774,84.929,0.588,202.955,5.757,49.86,21.44,173.396,0.0,0,none,normal
0,10,10,2.62,30.91,1.365,2.976,2.285,4.371,241.61,7.699,65.96,80.149,0.558,201.963,5.737,53.581,21.566,184.292,0.0,0,none,normal
0,11,11,2.66,29.42,1.396,2.865,2.353,4.553,233.555,8.084,67.724,78.074,0.573,195.587,5.608,54.704,20.659,178.702,0.0,0,none,normal
0,12,12,2.66,27.58,1.282,2.7,2.343,4.383,235.972,7.857,71.536,85.743,0.553,204.794,5.335,53.962,18.645,182.319,0.0,0,none,normal
0,13,13,2.72,26.36,1.411,3.048,2.347,4.556,225.312,8.38,64.9,75.296,0.551,196.233,5.581,54.604,19.986,184.157,0.0,0,none,normal
